url,fuel_type,horsepower,MPG,seats,curb_weight,length,width,height,wheel_base,drivetrain,body_type
https://www.carvana.com/vehicle/3475550?refSource=srp,Gas,175,22,5,3427,191.7,83.5,58.1,112.2,FWD,sedan
https://www.carvana.com/vehicle/3473714?refSource=srp,Gas,158,30,5,2771,182.7,70.9,55.7,106.3,FWD,sedan
https://www.carvana.com/vehicle/3511642?refSource=srp,Gas,163,27,5,3159,194.2,73,57.3,111.4,FWD,sedan
https://www.carvana.com/vehicle/3502892?refSource=srp,Gas,163,27,5,3159,194.2,73,57.3,111.4,FWD,sedan
https://www.carvana.com/vehicle/3513422?refSource=srp,Gas,137,26,5,2480,172,66.9,57.1,101.2,FWD,sedan
https://www.carvana.com/vehicle/3501308?refSource=srp,Gas,163,27,5,3103,193.8,73,57.6,111.4,FWD,sedan
https://www.carvana.com/vehicle/3467887?refSource=srp,Gas,175,23,5,3427,191.7,83.5,58.1,112.2,FWD,sedan
https://www.carvana.com/vehicle/3524079?refSource=srp,Gas,163,27,5,3159,194.2,73,57.3,111.4,FWD,sedan
https://www.carvana.com/vehicle/3516811?refSource=srp,Gas,163,27,5,3159,194.2,73,57.3,111.4,FWD,sedan
https://www.carvana.com/vehicle/3473296?refSource=srp,Gas,147,28,5,2976,179.9,70.9,56.5,106.3,FWD,sedan
https://www.carvana.com/vehicle/3475491?refSource=srp,Gas,147,29,5,2707,182.7,70.9,56.5,106.3,FWD,sedan
https://www.carvana.com/vehicle/3499367?refSource=srp,Hybrid,141,43,5,3668,191.8,83.5,58,112.2,FWD,sedan
https://www.carvana.com/vehicle/3439276?refSource=srp,Gas,163,27,5,3159,194.2,73,57.3,111.4,FWD,sedan
https://www.carvana.com/vehicle/3526213?refSource=srp,Gas,175,21,5,3472,191.8,83.5,58.2,112.2,FWD,sedan
https://www.carvana.com/vehicle/3400166?refSource=srp,Gas,123,24,5,2974,178.7,80.5,57.8,104.3,FWD,sedan
https://www.carvana.com/vehicle/3431984?refSource=srp,Gas,305,19,5,3811,201.3,84.3,58.9,111.7,FWD,sedan
https://www.carvana.com/vehicle/3438185?refSource=srp,Hybrid,141,43,5,3668,191.8,83.5,58,112.2,FWD,sedan
https://www.carvana.com/vehicle/3433736?refSource=srp,Gas,158,31,5,2795,182.3,70.8,55.7,106.3,FWD,sedan
https://www.carvana.com/vehicle/3480111?refSource=srp,Gas,147,30,5,2707,182.7,70.9,56.5,106.3,FWD,sedan
https://www.carvana.com/vehicle/3407093?refSource=srp,Gas,189,27,5,3192,191.4,72.8,57.7,109.3,FWD,sedan
https://www.carvana.com/vehicle/3513215?refSource=srp,Gas,163,27,5,3159,194.2,73,57.3,111.4,FWD,sedan
https://www.carvana.com/vehicle/3516026?refSource=srp,Gas,292,19,5,3940,198.4,82.7,57.8,120,RWD,sedan
https://www.carvana.com/vehicle/3480663?refSource=srp,Gas,370,16,5,4270,200.8,75,58.2,120.2,RWD,sedan
https://www.carvana.com/vehicle/3514203?refSource=srp,Gas,311,18,5,4138,196.5,74.4,58.3,118.5,RWD,sedan
https://www.carvana.com/vehicle/3351986?refSource=srp,Gas,158,31,5,2742,182.3,70.8,55.7,106.3,FWD,sedan
